X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.115,7185,0.115,-3775,0.115,-5514,0.115,4538,0.115,5968,0.115,5679,0.115,9792,0.115,2091,0.115,2308,0.115,2518,0.115,-3850,0.115,3245,0.115,-361,0.115,-5423,0.115,3531,0.115,1881
0.117,6230,0.117,-4073,0.117,-4887,0.117,6701,0.117,8036,0.117,7058,0.117,12267,0.117,3811,0.117,1688,0.117,1730,0.117,-4022,0.117,4529,0.117,669,0.117,-3889,0.117,4275,0.117,2681
0.118,5616,0.118,-3844,0.118,-4256,0.118,9200,0.118,10402,0.118,9045,0.118,15252,0.118,5950,0.118,1581,0.118,1230,0.118,-3790,0.118,5982,0.118,2470,0.118,-1918,0.118,5546,0.118,3854
0.12,5390,0.12,-2924,0.12,-3250,0.12,12146,0.12,13271,0.12,11565,0.12,18669,0.12,8495,0.12,1784,0.12,1438,0.12,-2896,0.12,7690,0.12,4649,0.12,696,0.12,7255,0.12,5827
0.122,5150,0.122,-2018,0.122,-1989,0.122,15708,0.122,16576,0.122,14692,0.122,22543,0.122,11427,0.122,2251,0.122,2266,0.122,-1597,0.122,9461,0.122,7388,0.122,3699,0.122,9642,0.122,8447
0.123,5039,0.123,-357,0.123,-345,0.123,19699,0.123,20076,0.123,18264,0.123,26853,0.123,14836,0.123,2753,0.123,3522,0.123,103,0.123,11801,0.123,10542,0.123,7342,0.123,12916,0.123,11652
0.125,5207,0.125,1752,0.125,1595,0.125,24131,0.125,23945,0.125,22514,0.125,31763,0.125,18555,0.125,3513,0.125,5038,0.125,2458,0.125,14577,0.125,14216,0.125,11510,0.125,16947,0.125,15405
0.127,5467,0.127,4479,0.127,4040,0.127,29062,0.127,28348,0.127,27133,0.127,37078,0.127,22754,0.127,4762,0.127,7208,0.127,5221,0.127,18187,0.127,18252,0.127,16160,0.127,21931,0.127,19584
0.128,6303,0.128,7497,0.128,6617,0.128,34606,0.128,33052,0.128,32221,0.128,42834,0.128,27883,0.128,6501,0.128,9562,0.128,8280,0.128,22568,0.128,22540,0.128,21462,0.128,27690,0.128,24019
0.13,7818,0.13,11174,0.13,9363,0.13,40159,0.13,38194,0.13,37806,0.13,48969,0.13,33575,0.13,8810,0.13,12275,0.13,11900,0.13,27907,0.13,27088,0.13,27130,0.13,33872,0.13,28877
0.132,10100,0.132,14993,0.132,12082,0.132,46088,0.132,43830,0.132,43928,0.132,55673,0.132,39915,0.132,11772,0.132,15372,0.132,15849,0.132,33949,0.132,32217,0.132,32879,0.132,40278,0.132,34007
0.133,13082,0.133,19264,0.133,14913,0.133,52207,0.133,49902,0.133,50567,0.133,62754,0.133,46977,0.133,15400,0.133,19111,0.133,20162,0.133,40555,0.133,37516,0.133,38924,0.133,47019,0.133,39463
0.135,16998,0.135,23729,0.135,17790,0.135,58528,0.135,56159,0.135,57689,0.135,70205,0.135,54772,0.135,19361,0.135,23152,0.135,24987,0.135,47254,0.135,43080,0.135,45196,0.135,53845,0.135,45522
0.137,21480,0.137,28905,0.137,20915,0.137,64828,0.137,62587,0.137,65261,0.137,78037,0.137,62670,0.137,23710,0.137,27603,0.137,30334,0.137,54507,0.137,49147,0.137,51479,0.137,60860,0.137,51722
0.138,26638,0.138,34475,0.138,24143,0.138,71578,0.138,69340,0.138,73116,0.138,86284,0.138,70793,0.138,28798,0.138,32306,0.138,35838,0.138,61928,0.138,55553,0.138,58022,0.138,67981,0.138,58092
