time,temp,sulf,anly,yield product,var yield,category
600.0,137.0,93.0,56.0,0.9463672941987399,0.029316477916759044,R 3A
35.0,119.0,92.0,37.0,0.0034401540954635003,0.0001406870829460909,R 3B
56.0,119.0,75.0,82.0,0.042305940825352405,0.001279171716702494,R 3B
202.0,71.0,93.0,44.0,0.07460672322049146,0.0018224476234417507,R 3B
261.0,138.0,96.0,90.0,0.8658982434488992,0.059254597400049576,redo
277.0,138.0,99.0,46.0,0.19243635043300147,0.0022504154697987715,R 3B
295.0,138.0,96.0,64.0,0.8718600025415643,0.09419633206106508,redo
313.0,119.0,96.0,58.0,0.09149160134544437,0.011137455333038719,R 3B
429.0,119.0,99.0,35.0,0.8222251421139767,0.08560504613123165,R 3B
476.0,138.0,91.0,56.0,0.7334296980353859,0.011422780409128934,R 3B
501.0,71.0,99.0,34.0,0.0141056963886268,0.0012769890322801146,R 3B
503.0,119.0,81.0,48.0,0.010090403116567033,0.0017742305659027068,R 3B
523.0,138.0,85.0,75.0,0.018598722958615102,0.00403025885283066,R 3B
551.0,119.0,99.0,91.0,0.7101668491071207,0.068636546494993,R 3B
552.0,71.0,75.0,40.0,0.0004935887993164999,1.9664347277706436e-05,redo
595.0,71.0,99.0,57.0,0.033593073137518935,0.0012296391951466562,redo
41.0,148.0,77.0,84.0,0.0421594226777339,0.00042940137475625136,R 3C
52.0,106.0,93.0,35.0,0.22988760333407487,0.0043716569595456355,R 3C
185.0,148.0,85.0,44.0,0.33892558915745835,0.020335437897084002,R 3C
185.0,106.0,75.0,75.0,0.031243755051628564,0.001764811110756806,R 3C
198.0,148.0,85.0,100.0,0.4879844402259059,0.010694133133049117,R 3C
313.0,106.0,98.0,88.0,0.8382700502042937,0.012309412209712878,R 3C
336.0,106.0,86.0,65.0,0.33076796092915745,0.025770303056543015,R 3C
350.0,139.0,97.0,68.0,0.9765906323340349,0.005377738780655227,R 3C
430.0,139.0,95.0,87.0,0.9530747167449407,0.011787353311906432,R 3C
443.0,106.0,80.0,79.0,0.06811671633296967,0.006761846789083493,R 3C
471.0,139.0,75.0,98.0,0.0510781794436832,0.007026839248829813,R 3C
492.0,106.0,80.0,65.0,0.428563351376057,0.07312871184554627,R 3C
534.0,148.0,87.0,62.0,0.7581361686430309,0.012457743696224158,R 3C
540.0,148.0,99.0,33.0,0.8964239088121863,0.044738974853857964,redo
546.0,148.0,92.0,61.0,0.8691872055632572,0.052442716222973654,redo
